County_State	County_Name	Non-Commercial -Civil Public Use Airports and Seaplane base	Non-Commercial -Other Aerodromes	Number of Bridges	Number of business establishments	Number of resident workers who commute to work in other countie	Number of resident workers who commute within county	Number of resident workers who work at home	Number of resident workers	Number of residents	Number of workers from other counties who commute to work in th	Pct of Medium to Fair Condition Bridges	Pct of Poor Condition Bridges	Percent of resident workers who commute by transit	Primary and Commercial Airports	Route miles of freight railroad	Route miles of passenger railroad and rail transit	State_Name	Total Docks	Total Marinas
Delta County, Texas	Delta County	0	1	96	54	1236	615	50	1870	5225	1248	0.96875	0.03125	0	0	0.6	0	Texas		
Denton County, Texas	Denton County	3	57	746	15125	202010	188100	26230	394110	754650	205677	0.993297587	0.006702413	0.010606176	0	131.5	41.7	Texas		
DeWitt County, Texas	DeWitt County	1	1	264	448	2247	5410	305	7670	20660	2255	0.988636364	0.011363636	0.000521512	0	29.7	0	Texas		
Dickens County, Texas	Dickens County	0	3	73	40	159	570	30	735	2235	159	0.95890411	0.04109589	0.005442177	0			Texas		
Dimmit County, Texas	Dimmit County	1	11	74	235	775	3045	160	3895	10840	839	1	0	0.001026958	0			Texas		
Donley County, Texas	Donley County	1	0	72	73	434	1035	75	1470	3505	442	0.958333333	0.041666667	0	0	37.9	0	Texas		
Duval County, Texas	Duval County	1	8	17	153	1422	2515	225	3980	11510	1452	1	0	0	0	45.1	0	Texas		
Eastland County, Texas	Eastland County	3	5	121	437	1112	5680	135	6785	18250	1116	1	0	0.000589536	0	32.2	0	Texas		
Ector County, Texas	Ector County	1	3	232	3639	14845	55025	1380	70345	153175	15275	0.987068966	0.012931034	0.005259791	0	36.6	0	Texas		
Edwards County, Texas	Edwards County	1	8	141	41	133	765	130	925	2030	153	0.992907801	0.007092199	0	0			Texas		
El Paso County, Texas	El Paso County	1	10	652	14569	4712	325390	11080	345010	833590	15867	0.995398773	0.004601227	0.014680734	1	105.6	51	Texas		
Ellis County, Texas	Ellis County	2	19	26	3002	35338	38835	3600	74610	160225	35744	1	0	0.004624045	0	96.2	0	Texas		
Erath County, Texas	Erath County	2	6	686	996	3202	15670	720	19030	40640	3331	1	0	0.00262743	0	42.5	0	Texas		
Falls County, Texas	Falls County	1	3	198	223	3181	2640	105	5830	17265	3199	0.98989899	0.01010101	0.016295026	0	36.2	0	Texas		
Fannin County, Texas	Fannin County	1	10	308	488	5774	6870	585	12875	33755	6015	0.922077922	0.077922078	0.000776699	0	25.7	0	Texas		
Fayette County, Texas	Fayette County	1	8	310	768	3124	8065	470	11260	24910	3181	0.95483871	0.04516129	0.001776199	0	91.2	22.8	Texas		
Fisher County, Texas	Fisher County	1	1	370	69	727	935	25	1675	3845	735	0.978378378	0.021621622	0	0	17.6	0	Texas		
Floyd County, Texas	Floyd County	1	2	150	143	608	1825	145	2450	6090	622	0.946666667	0.053333333	0	0			Texas		
Foard County, Texas	Foard County	1	0	11	25	152	375	15	535	1320	152	1	0	0	0			Texas		
Fort Bend County, Texas	Fort Bend County	1	19	60	13459	199484	118015	14400	319775	683755	201275	0.9	0.1	0.016636698	0	109.7	33.8	Texas		
Franklin County, Texas	Franklin County	1	3	650	166	2074	2070	210	4230	10570	2122	0.978461538	0.021538462	0	0	10.8	0	Texas		
Freestone County, Texas	Freestone County	1	3	75	371	2824	4620	110	7465	19585	2840	0.986666667	0.013333333	0.001071668	0	63.4	0	Texas		
Frio County, Texas	Frio County	1	4	168	327	1249	5380	125	6650	18540	1269	0.988095238	0.011904762	0.002255639	0	34.7	0	Texas		
Gaines County, Texas	Gaines County	1	4	146	447	1604	5925	145	7925	19485	1993	0.993150685	0.006849315	0	0	3.2	0	Texas		
Galveston County, Texas	Galveston County	1	27		5913	60586	81280	5260	143505	314485	61914			0.011010069	0	75.9	0	Texas	44	0
Garza County, Texas	Garza County	1	3	318	129	378	1800	10	2180	6615	378	0.981132075	0.018867925	0	0	40.5	0	Texas		
Gillespie County, Texas	Gillespie County	1	15	51	1027	1804	9240	610	11100	25730	1839	1	0	0.005405405	0			Texas		
Glasscock County, Texas	Glasscock County	0	3	128	35	229	305	50	535	1255	233	0.9921875	0.0078125	0	0			Texas		
Goliad County, Texas	Goliad County	0	2	28	124	1627	1225	165	2875	7465	1637	1	0	0	0	9	0	Texas		
Gonzales County, Texas	Gonzales County	1	2	125	405	2121	6495	330	8680	20370	2182	0.96	0.04	0.02016129	0	35	22.4	Texas		
Gray County, Texas	Gray County	2	2	286	555	1723	7365	60	9180	23030	1817	0.975524476	0.024475524	0	0	24.8	0	Texas		
Grayson County, Texas	Grayson County	2	32	81	2561	12139	39715	2775	54385	124230	14664	0.975308642	0.024691358	0.003585547	0	125.6	0	Texas		
Gregg County, Texas	Gregg County	1	7	516	4054	8595	44790	1425	54045	123285	9252	0.986434109	0.013565891	0.00286798	1	37.8	15.8	Texas		
Grimes County, Texas	Grimes County	1	4	215	438	4654	5345	335	10135	27140	4739	0.995348837	0.004651163	0	0	96.5	0	Texas		
Guadalupe County, Texas	Guadalupe County	1	15	219	2120	42487	25680	2810	68535	147315	42841	0.97260274	0.02739726	0.002407529	0	38.7	36.6	Texas		
Hale County, Texas	Hale County	2	5	284	684	2718	11295	470	14045	35005	2751	1	0	0.003559986	0	65.7	0	Texas		
Hall County, Texas	Hall County	1	0	49	68	168	935	15	1135	3160	203	0.959183673	0.040816327	0	0	17.4	0	Texas		
Hamilton County, Texas	Hamilton County	1	3	120	216	1037	2370	145	3425	8230	1065	0.975	0.025	0	0			Texas		
Hansford County, Texas	Hansford County	2	0	119	149	528	1900	30	2530	5550	628	0.983193277	0.016806723	0	0	0.7	0	Texas		
Hardeman County, Texas	Hardeman County	1	0	40	82	495	1055	4	1585	3950	518	0.975	0.025	0	0	45	0	Texas		
Hardin County, Texas	Hardin County	1	1	77	810	14179	9345	490	23985	55625	14567	0.987012987	0.012987013	0.000625391	0	69.3	0	Texas		
Harris County, Texas	Harris County	2	123	168	102213	151877	1927415	73325	2092410	4434255	162967	0.994047619	0.005952381	0.027886504	2	410.7	46.2	Texas	101	0
Harrison County, Texas	Harrison County	1	2	3889	1281	9648	15420	865	27380	66430	11947	0.990743122	0.009256878	0.000913075	0	85.2	32.4	Texas		
Hartley County, Texas	Hartley County	1	0	258	120	978	1125	100	2125	5965	1001	0.992248062	0.007751938	0	0	72.3	0	Texas		
Haskell County, Texas	Haskell County	1	0	17	144	523	1655	65	2205	5810	552	0.941176471	0.058823529	0	0			Texas		
Hays County, Texas	Hays County	0	12	80	4259	42579	48790	5750	91810	185685	42992	1	0	0.009639473	0	35.3	25.2	Texas		
Hemphill County, Texas	Hemphill County	1	3	196	144	202	1645	55	1885	4150	238	0.994897959	0.005102041	0	0	31.7	0	Texas		
Henderson County, Texas	Henderson County	1	13	35	1316	12523	17325	1060	30125	79215	12729	1	0	0.001095436	0	59.8	0	Texas		
Hidalgo County, Texas	Hidalgo County	3	8	196	12117	18914	272930	13120	296435	828335	21727	1	0	0.00332282	1	67.8	0	Texas		
Hill County, Texas	Hill County	1	12	410	645	5585	8375	620	14040	34900	5665	0.992682927	0.007317073	0.000997151	0	39.2	9.6	Texas		
Hockley County, Texas	Hockley County	1	1	386	500	2974	7255	290	10305	23375	3053	0.966321244	0.033678756	0.000970403	0	45.9	0	Texas		
Hood County, Texas	Hood County	1	5	3	1320	8111	13660	1105	22130	54215	8468	1	0	0.002892002	0	40.5	0	Texas		
Hopkins County, Texas	Hopkins County	1	5	84	765	3856	10950	660	14985	35845	4021	0.988095238	0.011904762	0.001001001	0	75.7	0	Texas		
Houston County, Texas	Houston County	1	7	260	342	2092	5735	365	7900	22800	2171	0.980769231	0.019230769	0.000506329	0	36.5	0	Texas		
Howard County, Texas	Howard County	1	1	193	736	1848	12255	170	14140	36425	1885	0.932642487	0.067357513	0.002475248	0	35.1	0	Texas		
Hudspeth County, Texas	Hudspeth County	1	4	129	30	279	785	100	1100	3480	314	0.992248062	0.007751938	0	0	106	77.8	Texas		
Hunt County, Texas	Hunt County	3	19	131	1506	13912	21535	1190	35700	89070	14166	0.984732824	0.015267176	0.000420168	0	77.6	0	Texas		
Hutchinson County, Texas	Hutchinson County	1	0	452	451	1158	7905	140	9265	21780	1345	0.984513274	0.015486726	0	0	18.9	0	Texas		
Irion County, Texas	Irion County	0	1	51	57	308	440	100	740	1630	308	0.980392157	0.019607843	0.005405405	0	43.3	0	Texas		
Jack County, Texas	Jack County	1	3	50	230	1307	1790	165	3120	8865	1321	1	0	0	0			Texas		
Jackson County, Texas	Jackson County	1	5	135	331	2775	3545	275	6410	14680	2855	1	0	0.010920437	0	68.4	0	Texas		
Jasper County, Texas	Jasper County	2	1	169	605	4325	7760	365	12435	35640	4689	0.982248521	0.017751479	0.002010454	0	86.3	0	Texas		
Jeff Davis County, Texas	Jeff Davis County	0	2	179	62	225	710	130	935	2220	225	0.983240223	0.016759777	0	0	30.5	26	Texas		
Jefferson County, Texas	Jefferson County	1	17	136	5712	8181	92530	1470	102740	252995	10030	0.992647059	0.007352941	0.005781585	1	120.4	21.8	Texas	58	0
Jim Hogg County, Texas	Jim Hogg County	1	2	444	84	392	1135	15	1530	5220	392	0.988738739	0.011261261	0.009803922	0	12.2	0	Texas		
Jim Wells County, Texas	Jim Wells County	1	8	29	826	4058	11960	390	16115	41485	4153	1	0	0	0	20.3	0	Texas		
Johnson County, Texas	Johnson County	2	29	177	2833	36809	32710	2690	69925	157545	37183	0.97740113	0.02259887	0.002288166	0	92.6	25	Texas		
Jones County, Texas	Jones County	1	5	373	276	2323	2895	100	5280	19945	2382	0.99463807	0.00536193	0.000757576	0			Texas		
Karnes County, Texas	Karnes County	1	4	169	346	1249	4015	115	5265	14985	1253	0.976331361	0.023668639	0.001899335	0			Texas		
Kaufman County, Texas	Kaufman County	1	12	141	1955	29287	20485	1680	50180	111830	29688	0.978723404	0.021276596	0.003487445	0	26.4	26.4	Texas		
Kendall County, Texas	Kendall County	0	4	435	1376	8244	8660	1085	17120	39010	8439	0.974712644	0.025287356	0.001752336	0			Texas		
Kenedy County, Texas	Kenedy County	0	3	103	19	47	125		180	560	47	0.980582524	0.019417476	0	0	46.3	0	Texas		
Kent County, Texas	Kent County	1	2	33	13	43	275	15	315	665	43	1	0	0	0			Texas		
Kerr County, Texas	Kerr County	1	15	172	1432	2634	17660	1120	20410	50505	2743	0.994186047	0.005813953	0.000734934	0			Texas		
Kimble County, Texas	Kimble County	1	3	149	132	392	1690	60	2085	4455	392	1	0	0	0			Texas		
King County, Texas	King County	0	3	45		55	115	4	165	275	55	1	0	0	0			Texas		
Kinney County, Texas	Kinney County	0	13	38	38	243	905	105	1175	3580	261	1	0	0.008510638	0	50.9	44.9	Texas		
Kleberg County, Texas	Kleberg County	1	2	55	562	3683	10375	250	14100	31875	3732	1	0	0	0	21.2	0	Texas		
Knox County, Texas	Knox County	2	2	51	95	382	1045	70	1450	3805	401	1	0	0	0			Texas		
La Salle County, Texas	La Salle County	1	10	137	155	400	1835	4	2240	7320	400	1	0	0	0	43.8	0	Texas		
Lamar County, Texas	Lamar County	1	6	306	1227	2101	17830	655	20340	49625	2519	0.986928105	0.013071895	0.000393314	0	19.1	0	Texas		
Lamb County, Texas	Lamb County	2	1	11	243	1403	4225	185	5650	13560	1422	1	0	0	0	37.1	0	Texas		
Lampasas County, Texas	Lampasas County	1	7	91	405	4131	4245	205	8450	20355	4204	1	0	0.001775148	0	53.7	0	Texas		
Lavaca County, Texas	Lavaca County	2	6	262	471	3162	5495	355	8750	19655	3233	0.984732824	0.015267176	0.004	0	24.9	0	Texas		
Lee County, Texas	Lee County	1	4	139	423	2476	5025	435	7530	16755	2496	1	0	0	0	35.9	0	Texas		
Leon County, Texas	Leon County	0	10	164	337	2024	4395	415	6510	16925	2123	0.987804878	0.012195122	0	0	77.1	0	Texas		
Liberty County, Texas	Liberty County	2	8	194	1072	15178	12175	230	27705	78600	15506	0.979381443	0.020618557	0.00252662	0	112.8	35.2	Texas		
Limestone County, Texas	Limestone County	1	2	282	389	1956	6700	385	8725	23470	2029	0.936170213	0.063829787	0.000458453	0	35.1	0	Texas		
Lipscomb County, Texas	Lipscomb County	2	3	39	80	479	960	30	1600	3505	662	0.974358974	0.025641026	0	0	11.1	0	Texas		
Live Oak County, Texas	Live Oak County	1	4	219	288	1345	2850	285	4225	11975	1380	0.98173516	0.01826484	0	0	47.3	0	Texas		
Llano County, Texas	Llano County	2	10	84	461	2456	4540	805	7055	19625	2503	1	0	0	0	20.1	0	Texas		
Loving County, Texas	Loving County			4	4	8	30	4	40	75	8	1	0	0				Texas		
Lubbock County, Texas	Lubbock County	1	14	235	7202	7030	132375	3605	140175	294680	7740	0.982978723	0.017021277	0.008988764	1	109.7	0	Texas		
Lynn County, Texas	Lynn County	1	0	5	84	1225	1080	65	2305	5725	1233	1	0	0.001735358	0	3.9	0	Texas		
Madison County, Texas	Madison County	1	3	84	261	1355	3025	85	4405	13845	1373	0.988095238	0.011904762	0	0	13.8	0	Texas		
Marion County, Texas	Marion County	1	2	191	157	1833	1590	220	3620	10190	2009	0.984293194	0.015706806	0	0	33.6	13.6	Texas		
Martin County, Texas	Martin County	1	1	122	112	1173	1295	130	2460	5450	1173	1	0	0	0	13	0	Texas		
Mason County, Texas	Mason County	1	8	118	146	405	1695	170	2110	4065	420	1	0	0	0			Texas		
Matagorda County, Texas	Matagorda County	2	11	686	721	4306	11220	245	15645	36720	4386	0.986880466	0.013119534	0.008948546	0	70.2	0	Texas	0	0
Maverick County, Texas	Maverick County	1	7	57	807	3668	16615	245	20615	56830	3845	1	0	0.004123211	0	29.5	0	Texas		
McCulloch County, Texas	McCulloch County	1	4	125	222	412	2915	70	3360	8240	452	0.984	0.016	0	0	16.8	0	Texas		
McLennan County, Texas	McLennan County	3	18	58	5302	6258	101345	3530	107990	243395	6618	0.982758621	0.017241379	0.004065191	1	92.1	28.4	Texas		
McMullen County, Texas	McMullen County	0	3	14	44	52	205	10	255	670	52	0.928571429	0.071428571	0.117647059	0			Texas		
Medina County, Texas	Medina County	3	6	208	775	11116	8965	705	20075	47920	11124	0.985576923	0.014423077	0.002191781	0	56.1	42.7	Texas		
Menard County, Texas	Menard County	1	4	63	45	277	560	40	835	2165	277	1	0	0	0			Texas		
Midland County, Texas	Midland County	1	4	118	5340	10136	67540	1705	77875	155815	10335	0.983050847	0.016949153	0.00211878	1	26.8	0	Texas		
Milam County, Texas	Milam County	2	5	184	414	3594	5455	335	9090	24370	3627	0.972826087	0.027173913	0.001650165	0	78.1	0	Texas		
Mills County, Texas	Mills County	1	6	68	106	437	1420	90	1865	4870	441	0.985294118	0.014705882	0	0	34.1	0	Texas		
Mitchell County, Texas	Mitchell County	1	1	142	132	815	2145	110	2975	8995	833	0.992957746	0.007042254	0.001344538	0	31.7	0	Texas		
Montague County, Texas	Montague County	1	3	230	438	2494	5365	390	8000	19385	2643	0.982608696	0.017391304	0	0	51.8	0	Texas		
Montgomery County, Texas	Montgomery County	1	16	585	11692	97024	133820	12130	234350	518850	99970	0.986324786	0.013675214	0.012626413	0	129.9	0	Texas		
Moore County, Texas	Moore County	2	0	26	446	978	9340	110	10395	22185	1045	1	0	0.012025012	0	66.3	0	Texas		
Morris County, Texas	Morris County	1	1	70	214	2536	2015	220	4620	12655	2600	0.985714286	0.014285714	0.002164502	0	29.3	0	Texas		
Motley County, Texas	Motley County	0	1	51	26	110	320	10	430	1020	114	1	0	0.023255814	0			Texas		
Nacogdoches County, Texas	Nacogdoches County	1	1	240	1300	4482	22645	830	27410	65555	4762	0.995833333	0.004166667	0.001641737	0	37.6	0	Texas		
Navarro County, Texas	Navarro County	1	11	330	951	4598	14800	815	19475	48175	4700	0.984848485	0.015151515	0.001026958	0	85.7	0	Texas		
Newton County, Texas	Newton County	1	1	157	125	2268	1765	75	4385	14140	2626	0.987261146	0.012738854	0.004561003	0	24.2	0	Texas		
Nolan County, Texas	Nolan County	1	4	167	355	889	5480	85	6380	15015	908	0.976047904	0.023952096	0.001567398	0	71.2	0	Texas		
Nueces County, Texas	Nueces County	3	17	489	8025	12798	148245	3505	162085	355665	13792	0.991820041	0.008179959	0.015886726	1	86.7	0	Texas	62	3
Ochiltree County, Texas	Ochiltree County	1	0	32	349	223	4295	65	4745	10575	446	1	0	0	0			Texas		
Oldham County, Texas	Oldham County	1	1	51	43	255	485	45	735	2070	271	1	0	0	0	16.6	0	Texas		
Orange County, Texas	Orange County	1	2	174	1316	14065	20375	635	35405	83750	14965	0.965517241	0.034482759	0.001694676	0	85.4	32.6	Texas	11	0
Palo Pinto County, Texas	Palo Pinto County	1	7	237	617	4057	7455	470	11685	27920	4244	0.991561181	0.008438819	0.002567394	0	36.5	0	Texas		
Panola County, Texas	Panola County	1	1	141	472	2894	6285	215	10045	23770	3751	1	0	0.004977601	0	45.6	0	Texas		
Parker County, Texas	Parker County	1	27	324	2773	29643	26465	2755	56870	123600	30408	0.990740741	0.009259259	0.001670477	0	35.2	0	Texas		
Parmer County, Texas	Parmer County	0	2	26	198	488	3615	115	4500	9920	893	1	0	0.007777778	0	49.2	0	Texas		
Pecos County, Texas	Pecos County	2	3	469	329	850	5305	155	6155	15825	850	1	0	0.003249391	0	77.5	8.5	Texas		
Polk County, Texas	Polk County	1	2	237	764	4320	11825	640	16425	46585	4575	0.907172996	0.092827004	0.009071537	0	48.8	0	Texas		
Potter County, Texas	Potter County	0	2	184	3509	12333	40145	1095	52840	121885	12699	0.934782609	0.065217391	0.010124905	1	109.8	0	Texas		
Presidio County, Texas	Presidio County	4	5	74	120	340	1895	240	2380	7145	350	1	0	0.010504202	0	116.4	44	Texas		
Rains County, Texas	Rains County	0	2	52	172	2592	1710	205	4350	11085	2655	0.980769231	0.019230769	0	0			Texas		
Randall County, Texas	Randall County	0	7	94	2639	37500	27720	1810	65780	128605	38066	1	0	0.00402858	0	47.1	0	Texas		
Reagan County, Texas	Reagan County	1	0	28	133	318	1385	15	1705	3625	322	1	0	0	0	31.1	0	Texas		
Real County, Texas	Real County	0	6	28	79	207	910	170	1120	3350	211	1	0	0	0			Texas		
Red River County, Texas	Red River County	1	3	167	176	2439	2200	145	4760	12455	2569	0.97005988	0.02994012	0.000840336	0			Texas		
Reeves County, Texas	Reeves County	1	3	213	310	389	4475	135	4880	14440	401	0.985915493	0.014084507	0	0	73.4	0	Texas		
Refugio County, Texas	Refugio County	1	3	136	145	968	1980	60	3010	7315	1031	0.970588235	0.029411765	0	0	36.9	0	Texas		
Roberts County, Texas	Roberts County	1	2	22	20	219	185	20	400	940	219	0.954545455	0.045454545	0	0	17.5	0	Texas		
Robertson County, Texas	Robertson County	1	3	139	274	3044	3865	155	6980	16535	3108	0.978417266	0.021582734	0	0	132.4	0	Texas		
Rockwall County, Texas	Rockwall County	1	6	70	2269	26789	14815	2345	42010	88010	27148	0.985714286	0.014285714	0.005950964	0	14.3	0	Texas		
Runnels County, Texas	Runnels County	2	1	159	221	1304	2880	130	4200	10410	1319	0.987421384	0.012578616	0	0	35.1	0	Texas		
Rusk County, Texas	Rusk County	1	1	277	799	9731	10550	695	20415	53195	9873	1	0	0.000195934	0	43.3	0	Texas		
Sabine County, Texas	Sabine County	1	2	94	167	828	1690	130	2775	10365	1065	0.989361702	0.010638298	0.001441441	0	19.5	0	Texas		
San Augustine County, Texas	San Augustine County	1	1	95	128	786	1365	45	2205	8555	808	0.978947368	0.021052632	0.001814059	0	17.8	0	Texas		
San Jacinto County, Texas	San Jacinto County	0	2	77	203	7224	2865	340	10255	27170	7393	0.987012987	0.012987013	0	0	14.1	0	Texas		
San Patricio County, Texas	San Patricio County	2	6	237	1061	13630	15125	1010	28915	66705	13787	0.978902954	0.021097046	0.0021788	0	79.5	0	Texas	29	0
San Saba County, Texas	San Saba County	1	4	89	156	427	1840	120	2280	5880	437	0.988764045	0.011235955	0	0	34.9	0	Texas		
Schleicher County, Texas	Schleicher County	1	1	33	53	466	1020	65	1495	3170	466	0.96969697	0.03030303	0.006688963	0			Texas		
Scurry County, Texas	Scurry County	1	1	139	415	651	6455	145	7115	17315	655	0.985611511	0.014388489	0.004919185	0	38.3	0	Texas		
Shackelford County, Texas	Shackelford County	1	1	79	133	500	975	30	1485	3325	504	0.974683544	0.025316456	0	0			Texas		
Shelby County, Texas	Shelby County	1	0	181	496	2135	6640	255	9405	25705	2736	0.961325967	0.038674033	0.003721425	0	59.5	0	Texas		
Sherman County, Texas	Sherman County	0	1	30	62	308	985	45	1575	3070	591	1	0	0.002539683	0	53.8	0	Texas		
Smith County, Texas	Smith County	0	8	398	5822	12424	82000	3430	95275	219745	13220	0.984924623	0.015075377	0.002046707	1	72.3	1.6	Texas		
Somervell County, Texas	Somervell County	0	8	28	209	1510	1985	40	3555	8675	1575	1	0	0.00281294	0	2	0	Texas		
Starr County, Texas	Starr County	1	1	63	564	4490	15555	975	20400	63010	4733	1	0	0.003921569	0	16.4	0	Texas		
Stephens County, Texas	Stephens County	1	1	116	249	782	2930	55	3770	9785	842	0.982758621	0.017241379	0.0066313	0	5.7	0	Texas		
Sterling County, Texas	Sterling County	0	4	54	51	70	510	85	585	1235	74	1	0	0	0			Texas		
Stonewall County, Texas	Stonewall County	1	1	50	50	162	330	10	490	1235	162	0.98	0.02	0	0			Texas		
Sutton County, Texas	Sutton County	1	3	92	127	244	1460	65	1710	3935	252	1	0	0	0			Texas		
Swisher County, Texas	Swisher County	1	4	70	134	904	1700	60	2635	7640	922	0.942857143	0.057142857	0	0	33.1	0	Texas		
Tarrant County, Texas	Tarrant County	4	53	2360	42162	201410	725425	39420	934030	1947530	207938	0.993644068	0.006355932	0.005808165	1	257.3	75.3	Texas		
Taylor County, Texas	Taylor County	0	5	415	3477	3916	59760	2360	63915	135235	4119	0.985542169	0.014457831	0.00852695	1	78.7	0	Texas		
Terrell County, Texas	Terrell County	1	2	53	15	54	285	35	340	780	54	1	0	0	0	59.5	59.5	Texas		
Terry County, Texas	Terry County	1	1	5	232	1113	3425	115	4565	12725	1148	1	0	0	0	37.1	0	Texas		
Throckmorton County, Texas	Throckmorton County	1	0	53	50	200	460	50	660	1520	208	0.962264151	0.037735849	0.006060606	0			Texas		
